instnm,Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Percent full-time first-time receiving an award - 6 years (DRVOM2019),State abbreviation (HD2018),City location of institution (HD2018),ZIP code (HD2018),Admissions office web address (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Sector of institution (HD2018),Historically Black College or University (HD2018),Carnegie Classification 2018: Undergraduate Instructional Program (HD2018),Carnegie Classification 2018: Basic (HD2018),Carnegie Classification 2018: Undergraduate Profile (HD2018),Institution size category (HD2018),ROTC (IC2018_RV),Study abroad (IC2018_RV),Member of National Collegiate Athletic Association (NCAA) (IC2018),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Percent admitted - total (DRVADM2018_RV),Admissions yield - total (DRVADM2018_RV),Percent of undergraduate enrollment that are White (DRVEF2018_RV),Percent of undergraduate enrollment that are women (DRVEF2018_RV),Graduation rate  total cohort (DRVGR2018_RV),Completion of college-preparatory program (ADM2018_RV),Recommendations (ADM2018_RV),SAT Math 25th percentile score (ADM2018_RV),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018_RV),
Midwestern University-Downers Grove,,,IL,Downers Grove,60515-5514,www.midwestern.edu/Programs_and_Admission/Admissions_Overview.html,-87.998342,41.828115,2,2,0,25,0,2,0,0,0,,,,,,,,,,,,
Midwestern University-Glendale,,,AZ,Glendale,85308,www.midwestern.edu/Programs_and_Admission/Admissions_Overview.html,-112.183633,33.663853,2,2,0,25,0,2,0,0,0,,,,,,,,,,,,
Midwives College of Utah,22315,,UT,Salt Lake City,84106,https://www.midwifery.edu/application-process/,-111.857036,40.710890,2,2,5,26,13,1,0,0,0,,,71,100,74,99,,3,1,,,
Miles College,14084,19,AL,Fairfield,35064-2621,https://www.miles.edu/admissions,-86.908751,33.482442,2,1,15,22,11,2,1,1,1,22418,22418,,,3,53,24,,,,,
Millersville University of Pennsylvania,,60,PA,Millersville,17551-0302,www.millersville.edu/admissions/,-76.357381,40.000337,1,2,13,18,13,3,1,1,1,40508,30538,78,27,74,57,60,2,2,490,500,
Milligan University,20223,64,TN,Milligan College,37682,https://www.milligan.edu/admission,-82.294070,36.300147,2,2,13,19,15,2,0,1,0,43802,43802,83,44,82,57,70,2,1,530,540,
Millikin University,22138,60,IL,Decatur,62522-2084,https://www.millikin.edu/admission-aid,-88.976298,39.842612,2,2,13,22,13,2,0,1,1,49920,49920,61,17,67,57,58,2,1,470,490,
Mills College,25417,70,CA,Oakland,94613,https://www.mills.edu/admission-aid/index.php,-122.182294,37.781425,2,2,7,19,11,2,0,1,1,47784,47784,86,19,36,100,74,2,1,495,513,
Millsaps College,24457,67,MS,Jackson,39210-0001,www.millsaps.edu/admissions.php,-90.179957,32.322746,2,2,10,21,14,1,1,1,1,56631,56631,59,10,63,52,64,2,1,530,550,
Milwaukee Institute of Art & Design,25557,52,WI,Milwaukee,53202-6003,www.miad.edu/admissions/admissions-staff,-87.907925,43.030917,2,2,12,30,12,1,0,1,0,49130,49130,64,37,66,69,50,3,5,,,
Milwaukee School of Engineering,25917,68,WI,Milwaukee,53202-3109,www.msoe.edu/admissions-aid/,-87.907691,43.045364,2,2,19,19,15,2,1,1,1,53684,53684,63,29,68,26,74,3,3,610,578,
Minneapolis College of Art and Design,28848,59,MN,Minneapolis,55404,mcad.edu/admissions,-93.274705,44.956988,2,2,16,30,13,1,0,1,0,52248,52248,63,43,65,69,64,2,1,490,540,
Minnesota State University Moorhead,,47,MN,Moorhead,56563,www.mnstate.edu/Admissions/,-96.759532,46.867153,1,2,16,19,13,3,1,1,1,29406,21996,60,31,79,61,49,1,3,470,450,
Minnesota State University-Mankato,,48,MN,Mankato,56001,https://mankato.mnsu.edu/future-students/,-93.999450,44.146712,1,2,16,18,13,4,1,1,1,28533,20482,61,35,73,53,50,1,3,,,
Minot State University,,36,ND,Minot,58707,www.minotstateu.edu/enroll/,-101.298610,48.246961,1,2,16,19,9,2,0,1,1,18324,18324,50,76,69,60,46,1,3,460,460,
MiraCosta College,,43,CA,Oceanside,92056-3899,www.miracosta.edu/studentservices/admissions/index.html,-117.302606,33.190483,1,2,5,14,5,4,0,1,0,,,,,39,58,30,,,,,
Mirrer Yeshiva Cent Institute,11134,17,NY,Brooklyn,11223-2010, ,-73.966049,40.605043,2,2,20,24,10,1,0,0,0,20612,20612,75,76,93,0,2,2,2,,,
Misericordia University,25978,75,PA,Dallas,18612-1098,admissions.misericordia.edu/,-75.971541,41.345277,2,2,16,17,9,2,1,1,1,49450,49450,83,30,86,69,69,5,2,520,520,
Missio Theological Seminary,,,PA,Hatfield,19440,www.missio.edu/become-a-student,-75.303897,40.281414,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Mississippi College,18040,59,MS,Clinton,39058,www.mc.edu/admissions/index.php,-90.329821,32.335515,2,2,16,17,15,3,1,1,1,34005,34005,38,61,71,62,53,2,2,510,520,
Mississippi State University,,57,MS,Mississippi State,39762,www.admissions.msstate.edu,-88.790139,33.454852,1,2,17,15,13,5,1,1,1,39557,24957,57,36,72,50,58,1,3,530,540,
Mississippi University for Women,,43,MS,Columbus,39701,www.muw.edu/admissions,-88.418601,33.493305,1,2,19,19,13,2,1,1,0,20079,20079,98,33,58,80,48,1,3,560,520,
Mississippi Valley State University,,29,MS,Itta Bena,38941-1400,www.mvsu.edu/prospective-students/admissions,-90.341274,33.514142,1,1,16,20,11,2,1,0,1,20714,20714,86,17,2,60,29,1,3,,,
Missouri Baptist University,20481,38,MO,Saint Louis,63141-8698,www.mobap.edu/admissions/,-90.462586,38.641526,2,2,16,18,11,3,1,1,0,41185,41185,52,60,63,62,36,2,1,470,460,
Missouri Southern State University,,31,MO,Joplin,64801-1595,www.mssu.edu/offices/admissions/index.php,-94.461689,37.095155,1,2,16,22,9,3,0,1,1,24168,17666,96,41,72,62,33,2,3,,,
Missouri State University-Springfield,,54,MO,Springfield,65897,www.missouristate.edu/admissions/,-93.281281,37.199258,1,2,17,17,13,5,1,1,1,29732,21782,85,40,82,58,54,2,3,518,500,
Missouri University of Science and Technology,,64,MO,Rolla,65409,futurestudents.mst.edu/,-91.775583,37.953426,1,2,17,16,14,3,1,1,1,39461,22440,84,36,81,24,63,1,2,608,580,
Missouri Valley College,19465,28,MO,Marshall,65340,www.moval.edu/admissions-financial-aid,-93.190654,39.108522,2,2,15,22,15,2,1,1,0,34730,34730,59,35,53,46,23,2,2,450,440,
Missouri Western State University,,27,MO,Saint Joseph,64507,https://www.missouriwestern.edu/admissions,-94.785643,39.757500,1,2,16,19,11,3,1,1,1,26450,20575,,,77,61,34,,,,,
Mitchell College,28287,39,CT,New London,06320,mitchell.edu/Admissions,-72.095230,41.328013,2,2,15,22,13,1,0,0,1,50600,50600,83,15,54,42,45,1,1,,,
Mitchell Hamline School of Law,,,MN,Saint Paul,55105-3076,www.mitchellhamline.edu/admission,-93.138224,44.942020,2,2,0,31,0,2,0,1,0,,,,,,,,,,,,
Modesto Junior College,,32,CA,Modesto,95350-5800,www.mjc.edu/studentservices/enrollment/,-121.009792,37.651056,1,2,5,14,5,4,0,1,0,,,,,35,60,22,,,,,
Molloy College,28500,73,NY,Rockville Centre,11571-5002,www.molloy.edu/admissions,-73.626183,40.685941,2,2,16,18,9,2,1,1,1,51856,51856,81,17,61,73,75,2,2,530,530,
Monmouth College,17992,59,IL,Monmouth,61462-1998,ou.monmouthcollege.edu/admissions/,-90.637310,40.914824,2,2,12,21,12,1,1,1,1,49590,49590,69,18,64,50,57,2,1,480,500,
Monmouth University,30945,70,NJ,West Long Branch,07764-1898,www.monmouth.edu/university/admission.aspx,-74.006447,40.280066,2,2,13,18,13,3,1,1,1,56979,56979,77,15,70,58,69,2,1,520,520,
Montana Bible College,12730,54,MT,Bozeman,59718,www.montanabiblecollege.edu/become-a-student,-111.064143,45.655524,2,2,-2,-2,-2,1,-1,-1,-1,,,,,,,,,,,,
Montana State University,,56,MT,Bozeman,59717,www.montana.edu/admissions/,-111.048812,45.666726,1,2,17,15,13,4,1,1,1,40169,22453,82,22,84,46,57,3,3,540,550,
Montana State University Billings,,29,MT,Billings,59101-0298,www.msubillings.edu/reg/admission.htm,-108.523009,45.796896,1,2,16,19,7,2,1,1,1,33232,19914,,,81,64,29,,,,,
Montana State University-Northern,,35,MT,Havre,59501,www.msun.edu/stuaffairs/admissions/index.htm,-109.687806,48.541490,1,2,19,22,11,2,0,0,0,29735,17025,100,31,74,45,35,2,3,,,
Montana Technological University,,42,MT,Butte,59701-8997,https://www.mtech.edu/admissions/,-112.559511,46.012868,1,2,19,20,15,2,0,0,0,37766,22603,92,42,76,35,52,1,3,580,530,
Montclair State University,,65,NJ,Montclair,07043-1624,www.montclair.edu/university-admissions/,-74.198141,40.860414,1,2,14,16,13,5,0,1,1,39492,31704,71,31,40,61,71,1,1,490,500,
Montessori Education Center of the Rockies,15435,,CO,Boulder,80301,www.mecr.edu,-105.241331,40.019673,2,2,-2,-2,-2,1,0,0,-2,,,94,80,88,94,100,3,1,,,
Montessori Institute of Milwaukee,,,WI,Milwaukee,53204-1504,www.montessori6-12ami.org,-87.915838,43.024779,2,2,-2,-2,-2,1,0,0,-2,,,,,,,,,,,,
Montreat College,23142,32,NC,Montreat,28757-1267,www.montreat.edu/admissions/,-82.297600,35.646577,2,2,13,20,7,1,0,1,0,39839,39839,55,29,66,50,43,3,3,460,460,
Montserrat College of Art,31116,65,MA,Beverly,01915-4508,https://www.montserrat.edu/admissions/why-montserrat/a-snapshot-of-first-year-and-beyond/,-70.876131,42.550212,2,2,12,30,10,1,0,1,0,49000,49000,,,45,72,55,,,,,
Moody Bible Institute,16247,61,IL,Chicago,60610-3284,https://www.moody.edu/chicago/admissions/,-87.633459,41.897822,2,2,20,24,13,2,0,1,0,27080,27080,95,64,58,46,58,2,1,,,
Moore College of Art and Design,37232,56,PA,Philadelphia,19103-1179,moore.edu/admissions,-75.172105,39.957078,2,2,17,30,15,1,0,1,0,60292,60292,52,18,57,100,59,2,2,520,570,
Moravian College,29483,63,PA,Bethlehem,18018-6650,www.moravian.edu/admissions,-75.383638,40.630947,2,2,13,21,13,2,1,1,1,60164,60164,73,25,70,61,68,2,1,520,530,
Morehead State University,,43,KY,Morehead,40351,www.moreheadstate.edu/Admissions,-83.434021,38.186768,1,2,13,18,13,4,1,1,1,27288,22812,79,28,89,61,45,2,3,,,
Morehouse College,28307,55,GA,Atlanta,30314,www.morehouse.edu/admissions/,-84.414917,33.745982,2,1,9,21,10,2,1,1,1,48500,48500,58,29,0,0,54,2,1,500,510,
Morehouse School of Medicine,,,GA,Atlanta,30310,www.msm.edu/Admissions/index.php,-84.411860,33.742888,2,1,0,25,0,1,0,0,0,,,,,,,,,,,,
Morgan Community College,,28,CO,Fort  Morgan,80701,https://www.morgancc.edu/get-started/apply/,-103.771822,40.258792,4,2,3,6,1,2,0,0,0,,,,,59,62,57,,,,,
Morgan State University,,37,MD,Baltimore,21251-0001,www.morgan.edu/Admissions.html,-76.585565,39.344161,1,1,16,16,11,3,1,1,1,34368,24101,66,23,2,55,39,2,1,470,450,
Morningside College,22831,56,IA,Sioux City,51106-1751,https://www.morningside.edu/admissions/,-96.359464,42.473891,2,2,16,18,12,2,1,1,0,45579,45579,58,14,73,50,51,2,3,,,
Morris College,15823,20,SC,Sumter,29150-3599,https://www.morris.edu/admissions,-80.346155,33.938574,2,1,12,22,10,1,1,1,0,25995,25995,,,0,60,31,,,,,
Mount Aloysius College,21874,46,PA,Cresson,16630-1999,www.mtaloy.edu/future-students/,-78.600898,40.459679,2,2,16,22,11,2,1,1,1,39258,39258,92,23,82,68,45,1,2,470,470,
Mount Angel Seminary,33065,44,OR,Saint Benedict,97373-0505,https://www.mountangelabbey.org/seminary/admissions/,-122.775405,45.057871,2,2,6,24,13,1,0,0,0,37628,37628,100,75,25,0,60,3,1,,,
Mount Carmel College of Nursing,15560,73,OH,Columbus,43222-1504,www.mccn.edu/admissions,-83.021501,39.956625,2,2,20,26,9,2,1,0,0,25247,25247,78,53,80,90,67,1,3,,,
Mount Holyoke College,32008,85,MA,South Hadley,01075-1489,https://www.mtholyoke.edu/admission,-72.575511,42.256838,2,2,7,21,14,2,1,1,1,66558,66558,51,33,45,100,83,1,1,650,640,
Mount Marty University,19704,56,SD,Yankton,57078-3724,www.mtmc.edu/future-students,-97.409904,42.874475,2,2,16,20,9,2,1,0,0,40888,40888,69,40,82,57,51,3,3,400,410,
Mount Mary University,20156,46,WI,Milwaukee,53222-4597,www.mtmary.edu/admissions/index.html,-88.030732,43.072507,2,2,16,19,11,2,0,1,1,46402,46402,62,32,41,100,51,2,2,,,
Mount Mercy University,20977,57,IA,Cedar Rapids,52402-4797,www.mtmercy.edu/admissions,-91.650991,42.001931,2,2,19,19,9,2,0,1,0,46532,46532,63,27,77,69,71,2,2,,,
Mount Saint Joseph University,18503,60,OH,Cincinnati,45233-1670,www.msj.edu/admission/overview5/,-84.639453,39.095893,2,2,16,18,12,2,1,1,1,41742,41742,60,29,66,59,53,1,3,490,500,
Mount Saint Mary College,25433,54,NY,Newburgh,12550,www.msmc.edu/admissions,-74.012655,41.513872,2,2,13,19,13,2,1,1,1,49076,49076,94,12,56,71,57,2,1,500,520,
Mount Saint Mary's University,29708,65,CA,Los Angeles,90049-1599,https://www.msmu.edu/admission/,-118.482879,34.085315,2,2,16,18,7,2,0,1,0,61287,61287,84,22,8,94,64,2,1,450,480,
Mount St. Mary's University,29283,62,MD,Emmitsburg,21727-7799,www.msmary.edu/admissions/index.html,-77.351887,39.681705,2,2,13,19,12,2,1,1,1,57125,57125,68,15,61,51,64,1,1,510,490,
Mount Vernon Nazarene University,21221,63,OH,Mount Vernon,43050-9500,https://www.mvnu.edu/undergraduate,-82.471074,40.372901,2,2,19,19,12,2,0,1,0,42614,42614,76,35,85,63,59,2,1,470,490,
Muhlenberg College,33603,87,PA,Allentown,18104,www.muhlenberg.edu/main/admissions/,-75.508502,40.596416,2,2,9,21,14,2,1,1,1,67535,67535,62,21,71,61,82,1,1,580,590,
Multnomah University,29420,32,OR,Portland,97220,https://www.multnomah.edu/admissions/,-122.575557,45.527139,2,2,19,24,13,1,0,1,0,42815,42815,54,52,71,51,63,2,1,,,
Murray State University,,48,KY,Murray,42071-3318,www.murraystate.edu/Admissions,-88.323629,36.612419,1,2,16,18,13,3,1,1,1,38928,23472,81,20,82,60,55,1,3,510,518,
Muskingum University,19743,48,OH,New Concord,43762,https://www.muskingum.edu/admission,-81.737030,39.996426,2,2,16,20,12,2,0,1,1,42314,42314,72,24,77,56,51,1,5,483,493,
Naropa University,28851,31,CO,Boulder,80302-6697,naropa.edu/admissions/index.php,-105.266987,40.014235,2,2,10,19,11,1,0,1,0,50810,50810,98,24,70,67,42,2,5,,,
Nashotah House,,,WI,Nashotah,53058-9793,www.nashotah.edu/apply,-88.423743,43.082193,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
National Louis University,14848,31,IL,Chicago,60603,www.nl.edu/oar/,-87.624699,41.880093,2,2,14,17,7,3,0,0,0,31050,31050,86,19,21,73,22,3,3,,,
National University,29382,36,CA,La Jolla,92037-1011,www.nu.edu/Admissions.html,-117.243026,32.909894,2,2,19,18,5,4,1,0,0,,,,,34,57,36,,,,,
National University of Health Sciences,,,IL,Lombard,60148-4583,https://www.nuhs.edu/admissions/,-88.013171,41.861697,2,2,6,26,5,1,0,0,0,,,,,42,75,,,,,,
National University of Natural Medicine,,,OR,Portland,97201-4848,admissions.nunm.edu,-122.676600,45.501931,2,2,0,26,11,1,0,0,0,,,,,75,91,,,,,,
Navajo Technical University,,21,NM,Crownpoint,87313-0849, ,-108.149392,35.687431,1,2,5,33,7,2,0,0,0,15510,15510,,,1,58,14,,,,,
Naval Postgraduate School,,,CA,Monterey,93943,my.nps.edu/web/admissions/welcome,-121.874248,36.597159,1,2,0,18,0,2,0,0,0,,,,,,,,,,,,
Nazarene Bible College,,25,CO,Colorado Springs,80910,www.nbc.edu,-104.752506,38.816515,2,2,18,24,5,1,0,0,0,,,,,78,45,0,,,,,
Nazarene Theological Seminary,,,MO,Kansas City,64131-1246,www.nts.edu/requirements-and-process/,-94.565781,39.009265,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
Nazareth College,30240,67,NY,Rochester,14618-3790,https://www2.naz.edu/admissions,-77.518579,43.101576,2,2,16,18,12,2,1,1,1,50235,50235,64,20,78,74,66,1,1,,,
Nebraska Christian College of Hope International University,22103,26,NE,Papillion,68046,www.nechristian.edu/preview-days/,-96.094370,41.123140,2,2,18,24,11,1,0,0,0,33564,33564,34,67,60,43,39,3,5,380,380,
Nebraska Methodist College of Nursing & Allied Health,24926,69,NE,Omaha,68114-2852,www.methodistcollege.edu/admissions,-96.048511,41.265973,2,2,19,26,5,2,1,0,0,32116,32116,91,65,83,89,63,2,3,,,
Nebraska Wesleyan University,24015,64,NE,Lincoln,68504-2794,www.nebrwesleyan.edu/about-nwu/admissions-office,-96.648310,40.839098,2,2,16,19,14,2,0,1,1,48324,48324,72,31,80,60,63,2,3,510,500,
Ner Israel Rabbinical College,10228,57,MD,Baltimore,21208,https://nirc.edu,-76.753526,39.388021,2,2,20,24,13,1,0,0,0,23250,23250,84,92,90,0,49,3,1,,,
Neumann University,24076,55,PA,Aston,19014-1298,www.neumann.edu/admissions/default.asp,-75.440022,39.874876,2,2,16,18,7,2,1,1,1,47777,47777,69,20,55,66,47,2,1,450,460,
Nevada State College,,14,NV,Henderson,89002,https://nsc.edu/admissions/,-114.938044,35.982345,1,2,15,22,5,2,1,1,0,,,81,45,28,76,19,2,3,,,
New Brunswick Theological Seminary,,,NJ,New Brunswick,08901-1107, ,-74.449368,40.501314,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
New College of Florida,,64,FL,Sarasota,34243-2109,www.ncf.edu/admissions/,-82.558580,27.384925,1,2,6,21,14,1,0,1,0,43678,20650,77,19,69,62,60,1,1,590,630,
New England College,29369,40,NH,Henniker,03242,www.nec.edu/admission,-71.822282,43.176403,2,2,16,18,11,2,1,1,1,55386,55386,100,13,51,58,25,2,1,,,
New England College of Optometry,,,MA,Boston,02115,www.neco.edu/admissions/contact,-71.086829,42.351853,2,2,18,26,0,1,0,1,0,,,,,,,,,,,,
New England Institute of Technology,31704,63,RI,East Greenwich,02818-1205,www.neit.edu/Admissions/Overview,-71.502892,41.661783,2,2,5,23,10,2,0,0,0,47792,47792,,,22,33,56,,,,,
New England Law-Boston,,,MA,Boston,02116,nesl.edu/admissions-aid,-71.066500,42.350833,2,2,0,31,0,1,0,1,0,,,,,,,,,,,,
New Hampshire Institute of Art,,,NH,Manchester,03104-4858,www.nhia.edu/undergraduate-studies/admissions-and-financial-aid/apply-for-admission,-71.458947,42.992953,2,2,14,30,11,1,0,1,0,44840,44840,36,29,46,74,47,3,5,,,
New Hope Christian College-Eugene,16128,21,OR,Eugene,97405,www.newhope.edu/admissions/,-123.153550,44.032674,2,2,18,24,7,1,0,0,0,25930,25930,100,72,46,50,21,3,1,,,
New Jersey City University,,33,NJ,Jersey City,07305,www.njcu.edu/admissions,-74.087270,40.709937,1,2,13,18,11,3,1,1,1,41598,32076,96,23,20,59,39,2,1,420,430,
New Jersey Institute of Technology,,64,NJ,Newark,07102,www.njit.edu/admissions,-74.177113,40.741997,1,2,17,15,15,4,1,1,1,53150,37738,64,25,32,25,65,1,1,610,580,
New Mexico Highlands University,,23,NM,Las Vegas,87701,newmexicohighlands.com/admissions/admission-requirements-msw/,-105.219197,35.596233,1,2,16,18,7,2,0,0,1,23286,19134,,,20,63,21,,,,,
New Mexico Institute of Mining and Technology,,47,NM,Socorro,87801,www.nmt.edu/admission/index.php,-106.905211,34.067041,1,2,17,20,15,2,0,1,0,36908,22410,93,37,53,30,56,2,2,620,590,
New Mexico State University-Main Campus,,46,NM,Las Cruces,88003-8001,admissions.nmsu.edu,-106.752069,32.281568,1,2,17,16,11,4,1,1,1,36464,21380,66,36,26,55,47,2,3,470,470,
New Orleans Baptist Theological Seminary,15244,33,LA,New Orleans,70126,www.nobts.edu/registrar/admissions.html,-90.043439,30.004336,2,2,-2,-2,-2,2,0,0,0,18320,18320,,,55,18,41,,,,,
New Saint Andrews College,,,ID,Moscow,83843-1525,nsa.edu/admissions/,-117.001804,46.731422,2,2,6,21,10,1,0,0,0,,,98,80,12,54,64,5,1,550,590,
New York Academy of Art,,,NY,New York,10013-2911,nyaa.edu/graduate-program/visit/,-74.006019,40.718388,2,2,0,30,0,1,0,0,0,,,,,,,,,,,,
New York Chiropractic College,,,NY,Seneca Falls,13148-0800,www.nycc.edu/admissions,-76.756232,42.911730,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
New York College of Health Professions,40726,36,NY,Syosset,11791-4413,www.nycollege.edu,-73.516191,40.809329,2,2,5,26,5,1,0,0,0,,,,,34,69,32,,,,,
New York College of Podiatric Medicine,,,NY,New York,10035-1940,www.nycpm.edu/admission.asp,-73.940496,40.805037,2,2,0,25,0,1,0,0,0,,,,,,,,,,,,
New York College of Traditional Chinese Medicine,,,NY,Mineola,11501,www.nyctcm.edu,-73.638911,40.739450,2,2,0,26,7,1,0,0,0,,,,,13,69,,,,,,
New York Institute of Technology,22197,49,NY,Old Westbury,11568-8000,www.nyit.edu/admissions/,-73.607800,40.812447,2,2,16,18,13,3,1,1,1,58496,58496,76,13,26,38,51,2,1,530,520,
New York Law School,,,NY,New York,10013-2921,www.nyls.edu/admissions/,-74.006969,40.717998,2,2,0,31,0,2,0,1,0,,,,,,,,,,,,
New York Medical College,,,NY,Valhalla,10595,www.nymc.edu/future-students/admission-offices/,-73.810042,41.085031,2,2,0,25,0,2,0,0,0,,,,,,,,,,,,
New York School of Interior Design,47112,60,NY,New York,10021,www.nysid.edu/what-path-is-right-for-you,-73.962404,40.768615,2,2,20,30,5,1,0,1,0,51734,51734,22,29,54,88,63,5,1,600,450,
New York Theological Seminary,,,NY,New York,10115,nyts.edu,-73.963793,40.810869,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
New York University,37739,83,NY,New York,10012-1091,www.nyu.edu/admissions.html,-73.997264,40.729452,2,2,14,15,14,5,1,1,1,73566,73566,20,43,28,58,85,3,1,660,650,
Newberry College,19623,53,SC,Newberry,29108,https://www.newberry.edu/admission,-81.619777,34.285868,2,2,12,22,10,2,1,1,1,41199,41199,66,24,51,43,51,2,2,460,460,
Newbury College,,,MA,Brookline,02445,www.newbury.edu/admissions-and-aid/,-71.142082,42.331032,2,2,15,22,12,1,0,0,1,54040,54040,77,8,28,46,31,2,2,,,
Newman University,16533,52,KS,Wichita,67213-2097,newmanu.edu/admissions,-97.377680,37.672643,2,2,16,18,13,2,0,1,1,43988,43988,62,26,69,62,54,3,3,500,500,
Niagara University,18462,66,NY,Niagara University,14109,www.niagara.edu/admissions,-79.036689,43.137279,2,2,16,18,12,2,1,1,1,49830,49830,87,19,67,63,71,2,2,510,510,
Nicholls State University,,48,LA,Thibodaux,70310,www.nicholls.edu/admission/,-90.801571,29.794486,1,2,16,18,12,3,0,1,1,24211,23118,94,52,69,64,45,1,3,440,430,
Nichols College,28532,51,MA,Dudley,01571-5000,www.nichols.edu/admissions/,-71.930283,42.044033,2,2,19,29,10,2,0,1,1,52550,52550,82,18,77,38,55,2,2,,,
Norfolk State University,,36,VA,Norfolk,23504-8000,https://www.nsu.edu/Admissions-Aid,-76.261375,36.848429,1,1,13,19,11,3,1,1,1,36163,24995,90,16,3,65,37,2,1,420,440,
North American University,12468,78,TX,Stafford,77477-0000,www.na.edu/admissions/,-95.588338,29.646303,2,2,14,19,11,1,0,0,0,23600,23600,,,9,36,45,,,,,
North Carolina A & T State University,,42,NC,Greensboro,27411,www.ncat.edu/admissions.html,-79.773375,36.072820,1,1,16,16,11,4,1,1,1,31346,18136,61,32,6,57,53,1,3,470,480,
North Carolina Central University,,43,NC,Durham,27707,www.nccu.edu/admissionsandaid/index.cfm,-78.898602,35.974237,1,1,17,18,11,3,1,1,1,37126,24419,47,19,6,68,46,2,2,450,450,
North Carolina State University at Raleigh,,79,NC,Raleigh,27695-7001,admissions.ncsu.edu,-78.674517,35.785111,1,2,17,15,15,5,1,1,1,43320,23977,47,35,67,47,81,1,3,630,620,
North Carolina Wesleyan College,15437,35,NC,Rocky Mount,27804,www.ncwc.edu/admissions,-77.773982,36.019665,2,2,15,22,11,2,1,1,1,44050,44050,63,19,29,56,29,2,5,430,440,
North Central College,25536,69,IL,Naperville,60540,northcentralcollege.edu/admission,-88.142790,41.775760,2,2,13,19,15,2,1,1,1,52728,52728,56,15,64,54,68,1,2,420,433,
North Central State College,,24,OH,Mansfield,44901-0698,www.ncstatecollege.edu/cms/admissions.html,-82.581582,40.798777,4,2,2,9,1,2,0,0,0,,,,,87,60,18,,,,,
North Central University,21457,46,MN,Minneapolis,55404-1391,www.northcentral.edu/futurestudents,-93.261511,44.968625,2,2,16,22,11,2,0,1,1,36454,36454,90,45,71,56,54,3,5,518,515,
North Dakota State University-Main Campus,,58,ND,Fargo,58108-6050,https://www.ndsu.edu/admission/,-96.800838,46.893127,1,2,17,16,13,4,1,1,1,26415,22436,93,44,86,46,58,1,3,540,543,
North Florida College,,46,FL,Madison,32340,https://www.nfcc.edu/getting-started/admissions/index.html,-83.420732,30.473841,1,2,5,14,5,2,0,0,0,,,,,70,67,53,,,,,
North Greenville University,19124,52,SC,Tigerville,29688-1892,www.ngu.edu,-82.370260,35.069758,2,2,16,20,13,2,1,1,1,36682,36682,60,42,74,53,54,2,2,430,420,
North Park University,20068,59,IL,Chicago,60625-4895,www.northpark.edu/Admissions,-87.709948,41.975268,2,2,16,18,13,2,1,1,1,43005,43005,47,20,39,62,60,2,1,470,480,
North Seattle College,,34,WA,Seattle,98103-3599,https://northseattle.edu/admissions/steps,-122.333584,47.698408,1,2,5,14,5,3,0,1,0,,,,,41,60,34,,,,,
Northcentral University,,0,CA,San Diego,92106,www.ncu.edu/,-117.214911,32.736670,3,2,14,17,5,4,0,0,0,,,,,46,80,,,,,,
Northeast Ohio Medical University,,,OH,Rootstown,44272-0095,www.neomed.edu/admissions,-81.245302,41.102919,1,2,0,25,0,1,0,0,0,,,,,,,,,,,,
Northeastern Illinois University,,23,IL,Chicago,60625-4699,www.neiu.edu/future-students/,-87.718983,41.980399,1,2,13,18,5,3,1,1,0,41039,31531,56,14,28,56,21,3,3,380,,
Northeastern Seminary,,,NY,Rochester,14624,www.nes.edu/masters-programs/admissions,-77.800700,43.122873,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
Northeastern State University,,30,OK,Tahlequah,74464-2399,https://offices.nsuok.edu/admissions/AdmissionsHome.aspx,-94.967229,35.919939,1,2,16,18,9,3,1,1,1,25736,17666,98,49,46,61,35,1,3,478,440,
Northeastern University,36479,87,MA,Boston,02115-5005,https://www.northeastern.edu/admissions/,-71.088782,42.339992,2,2,14,15,14,5,1,1,1,70592,70592,19,23,45,52,88,2,1,690,670,
Northeastern University Lifelong Learning Network,,,MA,Boston,02115,https://www.northeastern.edu/learnforlife/programs/,-71.087841,42.339477,2,2,19,17,5,4,0,1,1,,,,,37,53,,,,,,
Northern Arizona University,,55,AZ,Flagstaff,86011-4092,https://nau.edu/admissions/,-111.653724,35.188449,1,2,13,16,11,5,1,1,1,41530,27266,83,19,55,61,52,3,3,,,
Northern Baptist Theological Seminary,,,IL,Lisle,60532-1348,www.seminary.edu/admissions/,-88.056162,41.809104,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Northern Illinois University,,45,IL,Dekalb,60115-2828,www.niu.edu/Apply/index.shtml,-88.766428,41.933869,1,2,14,16,13,4,1,1,1,29117,29117,54,24,53,50,46,1,3,480,490,
